City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,1,EC,82.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
6,6,BR,77.47,broken clouds,-27.4556,-53.9319,Hotel Imperial
9,9,US,75.29,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
12,12,RE,79.18,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
21,21,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
23,23,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
27,27,SB,76.53,overcast clouds,-8.7676,160.7034,Auki Motel
29,29,PF,75.22,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
31,31,MR,85.93,clear sky,18.0858,-15.9785,HOTEL IMAN
32,32,BR,81.55,overcast clouds,-3.9839,-38.7273,Bela vista Maranguape
35,35,ID,79.41,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
37,37,SO,78.08,clear sky,9.4942,50.8122,JABIR HOTEL
38,38,PF,79.77,light rain,-23.1203,-134.9692,People ThankYou
43,43,CN,75.94,overcast clouds,22.8134,115.8257,Yuehai Hotel
44,44,BR,89.46,clear sky,-22.9661,-42.0278,Pousada Porto Praia
46,46,HK,75.18,overcast clouds,22.2855,114.1577,Mini Hotel Central
52,52,GA,81.05,broken clouds,-3.432,10.6554,LIKWALE LODGE
61,61,PF,77.83,clear sky,-9.8,-139.0333,Villa Enata
62,62,MZ,76.28,moderate rain,-23.865,35.3833,Oceano
63,63,UY,79.9,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
71,71,IN,82.54,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
73,73,AU,82.53,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
79,79,PA,80.83,broken clouds,9.5167,-79.0333,Río Nabagana
80,80,BR,84.92,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
85,85,AU,79.41,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
91,91,MX,79.11,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
97,97,IN,81.77,clear sky,26.2167,81.2333,Hotel Ashirwad Inn
101,101,LK,75.81,overcast clouds,8.3565,80.4173,Nilketha Villa Eco Hotel
105,105,BR,87.75,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
106,106,BR,78.4,overcast clouds,-2.9667,-47.4833,INOVA
110,110,US,75.74,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
113,113,PK,82.74,clear sky,30.44,72.3543,Fateh Din Colony
116,116,RE,80.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
119,119,SA,79.05,scattered clouds,17.3333,42.6667,شهدان. ابوالحجر
120,120,PE,77.68,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
123,123,ZA,78.31,clear sky,-29.6641,22.7474,Avenue GuestHouse
128,128,GH,84.43,overcast clouds,4.8845,-1.7554,Raybow International Hotel
137,137,BR,83.05,light rain,-3.9014,-38.3911,Pousada Rua Camurupim
139,139,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
145,145,MY,79.16,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
147,147,TH,86.49,broken clouds,17.316,99.8319,Boon Bunleng Resort
151,151,PG,82.42,broken clouds,-2.5744,150.7967,Nusa Island Retreat
152,152,CO,85.98,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
160,160,CR,82.29,broken clouds,10.0,-83.0333,Hotel Playa Bonita
164,164,PG,83.01,overcast clouds,-10.6167,150.6667,Nuli Sapi
166,166,PF,80.51,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
168,168,MU,80.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
173,173,AR,82.42,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
175,175,MR,81.05,clear sky,20.5169,-13.0499,Oumou Elghoura
180,180,SL,84.11,broken clouds,7.5264,-12.505,Bonthe Holiday Village
184,184,MU,80.85,light rain,-20.3428,57.7575,Casa Tia Villa
199,199,MV,84.43,overcast clouds,-0.6,73.0833,Scoop Guest House
200,200,VU,80.37,overcast clouds,-19.55,169.2667,Tanna Lodge
205,205,PH,77.63,moderate rain,15.0286,120.6898,Maharlika Hostel
206,206,VE,80.64,scattered clouds,8.5514,-71.2375,Bora Bora Nails & Spa C.A.
210,210,BR,76.8,overcast clouds,-30.1811,-50.2056,Hotel Castelo
212,212,AU,77.07,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
213,213,MU,80.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
218,218,NC,82.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
220,220,AR,84.81,clear sky,-38.5473,-58.7368,dyd -mar Hotel
223,223,MX,80.55,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
231,231,KI,81.52,light rain,3.0707,172.7902,Isles Sunset Lodge
232,232,BR,86.59,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
233,233,UG,78.03,broken clouds,0.7697,33.6131,ROMA GUEST HOUSE
235,235,TO,79.48,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
243,243,ID,78.58,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
247,247,PA,80.73,broken clouds,9.55,-79.65,Scuba Portobelo
252,252,PF,80.29,few clouds,-17.7333,-149.15,Pension Oaoa
257,257,MX,82.8,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
259,259,MU,81.0,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
