City,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Tura,IN,2022-03-16 16:11:49,25.5198,90.2201,74.84,27,0,3.96,clear sky
1,Puerto Ayora,EC,2022-03-16 16:11:49,-0.7393,-90.3518,82.54,83,71,5.99,broken clouds
2,Leningradskiy,RU,2022-03-16 16:11:50,69.3833,178.4167,-13.63,95,59,9.26,broken clouds
3,Katsuura,JP,2022-03-16 16:11:50,35.1333,140.3,57.15,83,26,7.45,scattered clouds
4,Hilo,US,2022-03-16 16:11:50,19.7297,-155.09,73.13,94,100,4.0,overcast clouds
5,Punta Arenas,CL,2022-03-16 16:11:51,-53.15,-70.9167,50.11,74,100,9.22,light intensity shower rain
6,Tres Passos,BR,2022-03-16 16:11:51,-27.4556,-53.9319,77.47,66,61,7.92,broken clouds
7,Rio Brilhante,BR,2022-03-16 16:11:52,-21.8019,-54.5464,91.35,32,21,1.72,few clouds
8,Bluff,NZ,2022-03-16 16:11:52,-46.6,168.3333,44.8,85,82,11.92,broken clouds
9,San Patricio,US,2022-03-16 16:11:53,28.017,-97.5169,75.29,44,0,7.83,clear sky
10,Bethel,US,2022-03-16 16:11:53,41.3712,-73.414,58.73,66,0,5.75,clear sky
11,Kapaa,US,2022-03-16 16:11:54,22.0752,-159.319,68.32,75,20,6.91,few clouds
12,Saint-Joseph,RE,2022-03-16 16:11:54,-21.3667,55.6167,79.18,87,65,9.33,light rain
13,Vaini,TO,2022-03-16 16:11:54,-21.2,-175.2,73.56,94,100,4.61,drizzle
14,Tuktoyaktuk,CA,2022-03-16 16:11:55,69.4541,-133.0374,-20.69,95,15,12.37,few clouds
15,Kruisfontein,ZA,2022-03-16 16:11:55,-34.0033,24.7314,66.88,62,21,8.14,few clouds
16,Ushuaia,AR,2022-03-16 16:10:28,-54.8,-68.3,40.62,93,75,9.22,light intensity drizzle
17,Vanavara,RU,2022-03-16 16:11:56,60.34,102.2797,-2.81,100,96,1.21,overcast clouds
18,Jamestown,US,2022-03-16 16:11:56,42.097,-79.2353,58.01,44,0,10.0,clear sky
19,Yellowknife,CA,2022-03-16 16:11:57,62.456,-114.3525,0.28,84,82,3.0,broken clouds
20,Pevek,RU,2022-03-16 16:11:57,69.7008,170.3133,-6.16,98,100,4.74,overcast clouds
21,Salalah,OM,2022-03-16 16:11:58,17.0151,54.0924,80.69,69,0,3.44,clear sky
22,Taseyevo,RU,2022-03-16 16:11:58,57.2169,94.8978,7.12,98,96,2.42,overcast clouds
23,Georgetown,MY,2022-03-16 16:11:58,5.4112,100.3354,80.53,89,20,3.44,few clouds
24,Geraldton,AU,2022-03-16 16:11:59,-28.7667,114.6,63.01,82,0,4.61,clear sky
25,Yerbogachen,RU,2022-03-16 16:11:59,61.2767,108.0108,-3.12,100,100,2.57,overcast clouds
26,Avera,US,2022-03-16 16:12:00,33.194,-82.5271,63.91,94,100,2.98,light rain
27,Auki,SB,2022-03-16 16:12:00,-8.7676,160.7034,76.53,87,95,3.71,overcast clouds
28,Pangnirtung,CA,2022-03-16 16:12:01,66.1451,-65.7125,-11.36,92,100,2.13,overcast clouds
29,Tiarei,PF,2022-03-16 16:12:01,-17.5333,-149.3333,75.22,71,39,1.59,scattered clouds
30,Severo-Kurilsk,RU,2022-03-16 16:12:01,50.6789,156.125,29.95,84,100,14.52,light snow
